sampleID,group
global_positive_Batch2_QC10.mzXML Peak height,zero-blank
global_positive_Batch2_QC11.mzXML Peak height,zero-blank
global_positive_Batch1_A1.mzXML Peak height,group1
global_positive_Batch1_A2.mzXML Peak height,group1
global_positive_Batch1_C31.mzXML Peak height,group2
global_positive_Batch1_C32.mzXML Peak height,group2
