sampleID,group
global_negative_QC1_1.mzXML Peak height,zero-blank
global_negative_QC1_2.mzXML Peak height,zero-blank
global_negative_AB02707_2.mzXML Peak height,group1
global_negative_AB02720_2.mzXML Peak height,group1
global_negative_BC00410_1.mzXML Peak height,group2
global_negative_BC00454_4.mzXML Peak height,group2
